country_name,x,y
Aruba,-69.97344694,12.51677787
Afghanistan,66.00844687,33.83626669
Angola,17.53645758,-12.29117998
Anguilla,-63.06082173,18.2255962
Albania,20.05398895,41.14258223
Aland,20.03714843,60.20733399
Andorra,1.56075624,42.54132652
United Arab Emirates,54.30182407,23.9082133
Argentina,-65.17821792,-35.38269629
Armenia,44.93230122,40.28813415
American Samoa,-170.3975898,-14.2549844
Antarctica,19.97529325,-80.51656707
Ashmore and Cartier Islands,123.5856899,-12.43252556
French Southern and Antarctic Lands,68.99118154,-49.06270331
Antigua and Barbuda,-61.79099662,17.28429367
Australia,134.4925719,-25.73236473
Austria,14.13067289,47.58565692
Azerbaijan,47.54239385,40.28904383
Burundi,29.87508269,-3.35742534
Belgium,4.64012138,50.63740613
Benin,2.32873763,9.64120833
Burkina Faso,-1.75559113,12.26956016
Bangladesh,90.24338951,23.84284613
Bulgaria,25.21773886,42.76853987
Bahrain,50.54435599,26.04894526
The Bahamas,-76.55065181,24.2218008
Bosnia and Herzegovina,17.77340473,44.17173864
Saint Barthelemy,-62.8318771,17.90542584
Belarus,28.03356646,53.53188048
Belize,-88.70483451,17.20081549
Bermuda,-64.75585491,32.31045654
Bolivia,-64.68475359,-16.70687677
Brazil,-53.093972,-10.78278082
Barbados,-59.56047853,13.18086441
Brunei,114.7273545,4.51633756
Bhutan,90.4039477,27.41059256
Botswana,23.79898673,-22.18577232
Central African Republic,20.46480872,6.56632137
Canada,-98.31606295,61.37312602
Switzerland,8.2153826,46.79902293
Chile,-71.35511925,-37.69607161
China,103.8249104,36.56127654
Ivory Coast,-5.56901056,7.62783904
Clipperton Island,-109.2206768,10.29735879
Cameroon,12.73708339,5.69312773
Cyprus No Mans Area,33.25859703,35.10191597
Democratic Republic of the Congo,23.64584865,-2.87959293
Republic of the Congo,15.21868573,-0.83872391
Cook Islands,-158.7814366,-19.81870459
Colombia,-73.08018681,3.9109559
Comoros,43.68078834,-11.88440066
Cape Verde,-23.96661303,15.93590168
Costa Rica,-84.19323817,9.97360462
Coral Sea Islands,151.2548841,-18.50632028
Cuba,-79.03330319,21.62469202
Curacao,-68.97052753,12.1936224
Cayman Islands,-80.87017164,19.43395149
Northern Cyprus,33.59463202,35.2738455
Cyprus,32.99022771,34.91499778
Czech Republic,15.3141031,49.73244821
Germany,10.38154835,51.10621317
Djibouti,42.56667029,11.75020865
Dominica,-61.35619173,15.43625504
Denmark,10.05066968,55.96471679
Dominican Republic,-70.49627229,18.89620449
Algeria,2.61778927,28.15846284
Ecuador,-78.77322953,-1.42474699
Egypt,29.86128416,26.4923757
Eritrea,38.85317834,15.35753845
Dhekelia Sovereign Base Area,33.79259077,35.01791609
Spain,-3.65680212,40.23690054
Estonia,25.53595675,58.6708374
Ethiopia,39.60055108,8.62295174
Finland,26.27098883,64.49528534
Fiji,163.6981409,-17.44665888
Falkland Islands,-59.37170009,-51.7323795
France,2,47
Faroe Islands,-6.869998,62.07373018
Federated States of Micronesia,155.2477593,7.11537727
Gabon,11.79223929,-0.58701063
Gaza,34.35190587,31.38995078
United Kingdom,-2.8864099,54.14678254
Georgia,43.50765102,42.16881644
Guernsey,-2.53101344,49.48431852
Ghana,-1.21646616,7.95379716
Gibraltar,-5.37152041,36.12925669
Guinea,-10.94291693,10.43466906
Gambia,-15.39710342,13.44978035
Guinea Bissau,-14.97736535,12.02700048
Equatorial Guinea,10.33317054,1.70694522
Greece,22.9751402,39.05121967
Grenada,-61.65594232,12.15319977
Greenland,-41.34375934,74.73606687
Guatemala,-90.36505784,15.69339613
Guam,144.772216,13.44363396
Guyana,-58.97990481,4.79514164
Hong Kong S.A.R.,114.1319871,22.38453632
Heard Island and McDonald Islands,73.5056371,-53.08881628
Honduras,-86.61841551,14.82416559
Croatia,16.39866158,45.0677604
Haiti,-72.69070259,18.93814026
Hungary,19.39675927,47.16324369
Indonesia,117.2721054,-2.22083111
Isle of Man,-4.53427916,54.22807232
India,79.61221374,22.88736601
Indian Ocean Territories,104.6214301,-10.69199949
British Indian Ocean Territory,72.29927519,-7.14443616
Ireland,-8.14442565,53.17787438
Iran,54.27628645,32.57202709
Iraq,43.74498638,33.03979725
Iceland,-18.59580664,64.99801244
Israel,34.99609982,31.44354816
Italy,12.07213695,42.78624892
Jamaica,-77.3185348,18.15459368
Jersey,-2.12682422,49.22080505
Jordan,36.77094622,31.24559837
Japan,137.9925353,37.55590074
Baykonur Cosmodrome,63.38406172,45.97830461
Siachen Glacier,77.18014566,35.3912624
Kazakhstan,67.29601258,48.16067093
Kenya,37.79622573,0.59808146
Kyrgyzstan,74.54166946,41.46191866
Cambodia,104.90282,12.71557226
Kiribati,-55.3200661,0.79981029
Saint Kitts and Nevis,-62.69777839,17.27082251
Korea No Mans Area,127.4916223,38.26575238
South Korea,127.8321937,36.3504726
Kosovo,20.87374303,42.57288333
Kuwait,47.5905797,29.33878793
Laos,103.7378734,18.50229837
Lebanon,35.88027232,33.92039761
Liberia,-9.3197807,6.45231766
Libya,18.00958339,27.03020574
Saint Lucia,-60.96957735,13.90248488
Liechtenstein,9.54090029,47.13820643
Sri Lanka,80.7035495,7.61573833
Lesotho,28.22862292,-29.57973044
Lithuania,23.88836874,55.32700764
Luxembourg,6.07176389,49.76682437
Latvia,24.90912823,56.85176106
Macau S.A.R,113.5513278,22.15703981
Saint Martin,-63.05427035,18.07732837
Morocco,-8.45553295,29.83424547
Monaco,7.39876347,43.74603276
Moldova,28.46139712,47.19510139
Madagascar,46.70645838,-19.37325387
Maldives,73.33108392,3.67977959
Mexico,-102.5270403,23.94754633
Marshall Islands,170.0900882,7.11298141
Macedonia,21.68383042,41.5950048
Mali,-3.53907938,17.34416278
Malta,14.40424466,35.92080119
Myanmar,96.48918642,21.16941454
Montenegro,19.23850091,42.78585614
Mongolia,103.0562867,46.82580607
Northern Mariana Islands,145.5926201,16.11480661
Mozambique,35.53752578,-17.27037614
Mauritania,-10.34291654,20.25630708
Montserrat,-62.1866702,16.73733888
Mauritius,57.85461749,-20.22151186
Malawi,34.2899078,-13.21722587
Malaysia,109.6977023,3.79239687
Namibia,17.21079623,-22.128669
New Caledonia,165.6715851,-21.29316357
Niger,9.38603447,17.41846424
Norfolk Island,167.9554024,-29.03510789
Nigeria,8.09150439,9.59696812
Nicaragua,-85.03283634,12.84562812
Niue,-169.8683633,-19.04907148
Netherlands,5.21412054,52.06812055
Norway,15.41245003,68.79639971
Nepal,83.91625313,28.2479223
Nauru,166.9333091,-0.52097458
New Zealand,171.4701357,-41.82547243
Oman,56.09279884,20.6009084
Pakistan,69.34185214,29.94883006
Panama,-80.12391673,8.5104498
Pitcairn Islands,-128.4791816,-24.41267346
Peru,-74.38130707,-9.15353969
Philippines,122.8747136,11.76338277
Palau,134.3383134,7.17320992
Papua New Guinea,145.2279304,-6.47035848
Poland,19.39445112,52.12467174
Puerto Rico,-66.46639658,18.22566835
North Korea,127.1876702,40.17037567
Portugal,-8.59208959,39.58567981
Paraguay,-58.39842259,-23.227519
French Polynesia,-145.0385897,-15.17025641
Qatar,51.18756496,25.31277725
Romania,24.97309938,45.85341254
Russia,96.68898114,61.98347077
Rwanda,29.91906074,-1.99275047
Western Sahara,-12.21472647,24.23271161
Saudi Arabia,44.53775919,24.12244375
Sudan,29.93938333,15.9867575
South Sudan,30.25106603,7.30570608
Senegal,-14.47102989,14.36779409
Singapore,103.8137972,1.35879082
South Georgia and South Sandwich Islands,-35.89750685,-54.67684533
Saint Helena,-10.13801581,-24.90539022
Solomon Islands,159.6167032,-8.90195422
Sierra Leone,-11.79483031,8.5631609
El Salvador,-88.8692613,13.73670406
San Marino,12.44216449,43.93675901
Somaliland,46.25276103,9.73179694
Somalia,45.70531091,4.74751145
Saint Pierre and Miquelon,-56.30709703,46.9301905
Republic of Serbia,20.79032588,44.22140356
Sao Tome and Principe,6.72695783,0.44403945
Suriname,-55.91213615,4.12848058
Slovakia,19.48038292,48.70493504
Slovenia,14.80813927,46.11613587
Sweden,16.75289398,62.78917387
Swaziland,31.4800241,-26.56191435
Sint Maarten,-63.06963623,18.04042995
Seychelles,51.88227545,-6.5906753
Syria,38.50464857,35.02299323
Turks and Caicos Islands,-71.87260597,21.77987702
Chad,18.64625135,15.33307762
Togo,0.96228357,8.52672084
Thailand,101.0033182,15.11408177
Tajikistan,71.01582244,38.52988956
Turkmenistan,59.37614263,39.11593389
East Timor,125.8513769,-8.82393262
Tonga,-174.8407126,-19.9688065
Trinidad and Tobago,-61.25771792,10.46866006
Tunisia,9.5518557,34.11590863
Turkey,35.16731341,39.06095786
Tuvalu,178.5198949,-7.76005828
Taiwan,120.9508009,23.7524197
United Republic of Tanzania,34.81314561,-6.27505027
Uganda,32.36703985,1.27569119
Ukraine,31.38585497,48.99724978
United States Minor Outlying Islands,-97.14258506,14.02430267
Uruguay,-56.01756015,-32.80017287
